#Organism/Name,BioProject,Group,SubGroup,Size (Kb),GC%,Host,Segmemts,Genes,Proteins,Release Date,Modify Date,Level
"Mushroom bacilliform virus",PRJNA14676,"ssRNA viruses","Barnaviridae",4.009,46.3,"fungi", Unknown:NC_001633.1/U07551.1,4,4,1994/10/08,2013/02/06,Complete Genome
"Borna disease virus",PRJNA353928,"ssRNA viruses","Bornaviridae",8.786,42.9,"vertebrates , human",-,6,6,2016/09/30,2016/11/28,Complete
"White spot syndrome virus",PRJNA14616,"dsDNA viruses, no RNA stage","Nimaviridae",309.286,40.9,"invertebrates", Unknown:NC_003225.3/KT995472.1,177,177,2001/11/20,2016/01/10,Complete Genome
"Hepatitis E virus",PRJNA15435,"ssRNA viruses","Hepeviridae",7.176,57.9,"vertebrates, human", Unknown:NC_001434.1/L08816.1,3,3,1993/08/02,2015/02/10,Complete Genome
"Heterosigma akashiwo RNA virus",PRJNA15425,"ssRNA viruses","Marnaviridae",8.587,46.9,"algae", Unknown:NC_005281.1/AY337486.1,1,1,2003/07/23,2008/07/16,Complete Genome
"Acholeplasma phage L2",PRJNA14066,"dsDNA viruses, no RNA stage","Plasmaviridae",11.965,32,"bacteria", Unknown:NC_001447.1/L13696.1,14,14,1993/06/11,2015/02/10,Complete Genome
"Pseudoalteromonas phage PM2",PRJNA14237,"dsDNA viruses, no RNA stage","Corticoviridae",10.079,42.2,"bacteria", Unknown:NC_000867.1/AF155037.1,22,22,1999/07/13,2010/03/26,Complete Genome
"Botrytis virus F",PRJNA14707,"ssRNA viruses","Gammaflexiviridae",6.827,53.4,"fungi", Unknown:NC_002604.1/AF238884.1,2,2,2000/10/14,2009/11/30,Complete Genome
"Chaetoceros socialis f. radians RNA virus 01",PRJNA34845,"ssRNA viruses","unclassified",9.467,39.6,"algae", Unknown:NC_012212.1/AB469874.1,2,2,2009/02/11,2009/09/08,Complete Genome
"Ostreid herpesvirus 1",PRJNA14552,"dsDNA viruses, no RNA stage","Malacoherpesviridae",207.439,38.7,"invertebrates", Unknown:NC_005881.2/AY509253.2,127,127,2004/02/02,2013/08/29,Complete Genome
"Sweet potato leaf curl Lanzarote virus",PRJNA41625,"ssDNA viruses","Geminiviridae",2.814,45,"plants", Unknown:NC_013467.1/EU839579.2,6,6,2009/06/13,2010/12/08,Complete Genome
"Drosophila melanogaster totivirus SW-2009a",PRJNA41725,"dsRNA viruses","Totiviridae",6.78,42.3,"invertebrates", Unknown:NC_013499.1/GQ342961.1,2,2,2009/11/08,2010/02/04,Complete Genome
"Butterbur mosaic virus",PRJNA42145,"ssRNA viruses","Betaflexiviridae",8.662,44.5,"plants", Unknown:NC_013527.1/AB517596.1,6,6,2009/11/20,2009/12/02,Complete Genome
"Fort Morgan virus",PRJNA42147,"ssRNA viruses","Togaviridae",11.381,48.6,"vertebrates, invertebrates", Unknown:NC_013528.1/GQ281603.1,3,3,2009/11/24,2012/06/27,Complete Genome
"Vibrio phage SIO-2",PRJNA42177,"dsDNA viruses, no RNA stage","Siphoviridae",81.184,45,"bacteria", Unknown:NC_016567.1/HQ316604.1,116,115,2011/11/19,2012/07/23,Complete Genome
"Synechococcus phage S-SSM4",PRJNA42181,"dsDNA viruses, no RNA stage","Myoviridae",182.801,39.4,"bacteria", Unknown:NC_020875.1/HQ316583.1,223,220,2013/03/10,2013/03/30,Complete Genome
"Cyanophage SS120-1",PRJNA42183,"dsDNA viruses, no RNA stage","unclassified",46.997,40.5,"bacteria", Unknown:NC_020872.1/HQ316584.1,53,52,2013/03/10,2013/03/30,Complete Genome
"Acidianus spindle-shaped virus 1",PRJNA42351,"dsDNA viruses, no RNA stage","Fuselloviridae",24.186,37.7,"archaea", Unknown:NC_013585.1/FJ870917.1,38,38,2009/11/25,2010/03/29,Complete Genome
"Sulfolobus spindle-shaped virus 6",PRJNA42355,"dsDNA viruses, no RNA stage","Fuselloviridae",15.684,38.2,"archaea", Unknown:NC_013587.1/FJ870915.1,33,33,2009/11/25,2010/07/08,Complete Genome
"Sulfolobus spindle-shaped virus 7",PRJNA42357,"dsDNA viruses, no RNA stage","Fuselloviridae",17.602,39,"archaea", Unknown:NC_013588.1/FJ870916.1,33,33,2009/11/25,2010/07/08,Complete Genome
"Felid alphaherpesvirus 1",PRJNA42429,"dsDNA viruses, no RNA stage","Herpesviridae",135.797,45.8,"vertebrates", Unknown:NC_013590.2/FJ478159.2,77,77,2009/11/30,2010/05/04,Complete Genome
"Cotton leaf curl Gezira alphasatellite",PRJNA42507,"Satellites","unclassified",1.387,42,"plants", Unknown:NC_013593.1/FN554580.1,1,1,2009/11/29,2011/02/05,Complete Genome
"Escherichia phage D108",PRJNA42515,"dsDNA viruses, no RNA stage","Myoviridae",37.235,51.8,"bacteria", Unknown:NC_013594.1/GQ357916.1,57,57,2009/09/15,2010/06/29,Complete Genome
"Streptococcus phage Alq132",PRJNA42593,"dsDNA viruses, no RNA stage","Siphoviridae",35.525,39.4,"bacteria", Unknown:NC_013598.1/FJ226752.1,44,44,2009/10/06,2010/01/07,Complete Genome
"Xylella phage Xfas53",PRJNA42595,"dsDNA viruses, no RNA stage","Podoviridae",36.674,56.8,"bacteria", Unknown:NC_013599.1/GQ421471.1,45,45,2009/09/07,2010/01/08,Complete Genome
"Sodalis phage SO1",PRJNA42597,"dsDNA viruses, no RNA stage","Siphoviridae",45.169,54.6,"bacteria", Unknown:NC_013600.1/GQ502199.1,59,59,2009/09/22,2011/09/02,Complete Genome
"Pseudomonas phage phi-2",PRJNA42717,"dsDNA viruses, no RNA stage","Podoviridae",43.144,58.9,"bacteria", Unknown:NC_013638.1/FN594518.1,43,43,2009/12/10,2011/01/06,Complete Genome
