#Organism/Name,Strain,BioSample,BioProject,Group,SubGroup,Size (Mb),GC%,Assembly,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Pneumocystis carinii B80","B80",SAMN02380717 ,PRJNA223511,"Fungi","Ascomycetes",7.66146,27.8,GCA_001477545.1 ,-,LFVZ01,62,3695,3646,2015/12/22,2015/12/22,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/477/545/GCF_001477545.1_Pneu_cari_B80_V3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/477/545/GCA_001477545.1_Pneu_cari_B80_V3
"Schizosaccharomyces pombe","972h-",SAMEA3138176 ,PRJNA13836,"Fungi","Ascomycetes",12.5913,36.0381,GCA_000002945.2 ,chromosome I:NC_003424.3/CU329670.1; chromosome II:NC_003423.3/CU329671.1; chromosome III:NC_003421.2/CU329672.1; mitochondrion MT:NC_001326.1/X54421.1,-,4,6991,5133,2002/02/28,2015/02/27,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/945/GCF_000002945.1_ASM294v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/945/GCA_000002945.2_ASM294v2
"Saccharomyces cerevisiae S288c","S288c",-,PRJNA43747,"Fungi","Ascomycetes",12.1571,38.1556,GCA_000146045.2 ,chromosome I:NC_001133.9/BK006935.2; chromosome II:NC_001134.8/BK006936.2; chromosome III:NC_001135.5/BK006937.2; chromosome IV:NC_001136.10/BK006938.2; chromosome V:NC_001137.3/BK006939.2; chromosome VI:NC_001138.5/BK006940.2; chromosome VII:NC_001139.9/BK006941.2; chromosome VIII:NC_001140.6/BK006934.2; chromosome IX:NC_001141.2/BK006942.2; chromosome X:NC_001142.9/BK006943.2; chromosome XI:NC_001143.9/BK006944.2; chromosome XII:NC_001144.5/BK006945.2; chromosome XIII:NC_001145.3/BK006946.2; chromosome XIV:NC_001146.8/BK006947.3; chromosome XV:NC_001147.6/BK006948.2; chromosome XVI:NC_001148.4/BK006949.2; mitochondrion MT:NC_001224.1/KP263414.1,-,17,6353,5910,1999/11/08,2016/10/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/045/GCF_000146045.2_R64,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/045/GCA_000146045.2_R64
"Emiliania huxleyi CCMP1516","CCMP1516",SAMN02744062 ,PRJNA77753,"Protists","Other Protists",167.676,64.5,GCA_000372725.1 ,-,AHAL01,7795,38549,38554,2013/04/19,2014/08/01,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/372/725/GCF_000372725.1_Emiliana_huxleyi_CCMP1516_main_genome_assembly_v1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/372/725/GCA_000372725.1_Emiliana_huxleyi_CCMP1516_main_genome_assembly_v1.0
"Arabidopsis thaliana","",SAMN03081427 ,PRJNA10719,"Plants","Land Plants",119.668,36.0528,GCA_000001735.1 ,chromosome 1:NC_003070.9/CP002684.1; chromosome 2:NC_003071.7/CP002685.1; chromosome 3:NC_003074.8/CP002686.1; chromosome 4:NC_003075.7/CP002687.1; chromosome 5:NC_003076.8/CP002688.1; mitochondrion MT:NC_001284.2/Y08501.2; chloroplast Pltd:NC_000932.1/AP000423.1,-,7,38125,48315,2001/08/13,2016/09/30,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/735/GCF_000001735.3_TAIR10,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/735/GCA_000001735.1_TAIR10
"Medicago truncatula","A17",SAMN02299339 ,PRJNA10791,"Plants","Land Plants",412.924,34.047,GCA_000219495.2 ,chromosome 1:NC_016407.2/CM001217.2; chromosome 2:NC_016408.2/CM001218.2; chromosome 3:NC_016409.2/CM001219.2; chromosome 4:NC_016410.2/CM001220.2; chromosome 5:NC_016411.2/CM001221.2; chromosome 6:NC_016412.2/CM001222.2; chromosome 7:NC_016413.2/CM001223.2; chromosome 8:NC_016414.2/CM001224.2; chloroplast Pltd:NC_003119.6/AC093544.8,APNO01,2187,51625,57661,2011/08/12,2014/06/18,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/495/GCF_000219495.3_MedtrA17_4.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/219/495/GCA_000219495.2_MedtrA17_4.0
"Solanum lycopersicum","",SAMN02981290 ,PRJNA119,"Plants","Land Plants",823.786,35.7097,GCA_000188115.2 ,chromosome 1:NC_015438.2/CM001064.2; chromosome 2:NC_015439.2/CM001065.2; chromosome 3:NC_015440.2/CM001066.2; chromosome 4:NC_015441.2/CM001067.2; chromosome 5:NC_015442.2/CM001068.2; chromosome 6:NC_015443.2/CM001069.2; chromosome 7:NC_015444.2/CM001070.2; chromosome 8:NC_015445.2/CM001071.2; chromosome 9:NC_015446.2/CM001072.2; chromosome 10:NC_015447.2/CM001073.2; chromosome 11:NC_015448.2/CM001074.2; chromosome 12:NC_015449.2/CM001075.2; chloroplast Pltd:NC_007898.3/DQ347959.1,AEKE02,3224,30336,36010,2010/12/10,2014/10/16,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/188/115/GCF_000188115.3_SL2.50,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/188/115/GCA_000188115.2_SL2.50
"Glycine max","",SAMN00002965 ,PRJNA19861,"Plants","Land Plants",978.972,35.1208,GCA_000004515.3 ,chromosome 1:NC_016088.2/CM000834.2; chromosome 2:NC_016089.2/CM000835.2; chromosome 3:NC_016090.2/CM000836.2; chromosome 4:NC_016091.2/CM000837.2; chromosome 5:NC_016092.2/CM000838.2; chromosome 6:NC_016093.2/CM000839.2; chromosome 7:NC_016094.2/CM000840.2; chromosome 8:NC_016095.2/CM000841.2; chromosome 9:NC_016096.2/CM000842.2; chromosome 10:NC_016097.2/CM000843.2; chromosome 11:NC_016098.2/CM000844.2; chromosome 12:NC_016099.2/CM000845.2; chromosome 13:NC_016100.2/CM000846.2; chromosome 14:NC_016101.2/CM000847.2; chromosome 15:NC_016102.2/CM000848.2; chromosome 16:NC_016103.2/CM000849.2; chromosome 17:NC_016104.2/CM000850.2; chromosome 18:NC_016105.2/CM000851.2; chromosome 19:NC_016106.2/CM000852.2; chromosome 20:NC_016107.2/CM000853.2; chloroplast Pltd:NC_007942.1/DQ317523.1; mitochondrion MT:NC_020455.1/JX463295.1,ACUP02,1191,58843,71525,2010/01/05,2015/11/04,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/515/GCF_000004515.4_Glycine_max_v2.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/515/GCA_000004515.3_Glycine_max_v2.0
"Hordeum vulgare subsp. vulgare","",SAMEA2272683 ,PRJEB88,"Plants","Land Plants",1779.49,44.9,GCA_000326125.1 ,-,CAJX01,2077901,-,-,2012/10/29,2015/02/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/326/125/GCA_000326125.1_ASM32612v1
"Oryza sativa Japonica Group","",SAMD00000397 ,PRJNA12269,"Plants","Land Plants",374.423,43.5769,GCA_001433935.1 ,chromosome 1:NC_029256.1/AP014957.1; chromosome 2:NC_029257.1/AP014958.1; chromosome 3:NC_029258.1/AP014959.1; chromosome 4:NC_029259.1/AP014960.1; chromosome 5:NC_029260.1/AP014961.1; chromosome 6:NC_029261.1/AP014962.1; chromosome 7:NC_029262.1/AP014963.1; chromosome 8:NC_029263.1/AP014964.1; chromosome 9:NC_029264.1/AP014965.1; chromosome 10:NC_029265.1/AP014966.1; chromosome 11:NC_029266.1/AP014967.1; chromosome 12:NC_029267.1/AP014968.1; plasmid B1:NC_001751.1/D00293.1; plastid Pltd:NC_001320.1/X15901.1; mitochondrion MT:NC_011033.1/BA000029.3,-,58,33185,41070,2015/10/10,2016/03/01,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/433/935/GCF_001433935.1_IRGSP-1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/433/935/GCA_001433935.1_IRGSP-1.0
