#Organism/Name,Group,SubGroup,Type,RefSeq,INSDC,Size (Kb),GC%,Protein,rRNA,tRNA,Other RNA,Gene,Pseudogene,Release Date,Modify Date
"(Cyprinus carpio 'mirror' x Cyprinus carpio 'singuonensis') x Carassius auratus red var.","Animals","Fishes",mitochondrion,NC_031807.1,KU146531,16.581,43.3207,13,2,22,-,37,-,2016/11/14,2016/12/07
"Abacion magnum","Animals","Other Animals",mitochondrion,NC_021932.1,JX437062,15.16,33.4037,13,2,22,-,35,-,2013/08/06,2016/06/28
"Abalistes stellaris","Animals","Fishes",mitochondrion,NC_011943.1,AP009202,16.502,44.4189,13,2,22,-,13,-,2009/01/22,2009/02/06
"Abax parallelepipedus","Animals","Insects",mitochondrion,NC_030592.1,KT876877,17.701,20.7446,13,2,22,-,37,-,2016/07/12,2016/07/21
"Abbottina obtusirostris","Animals","Fishes",mitochondrion,NC_026900.1,KP727758,16.599,44.0629,13,2,22,-,37,-,2015/04/22,2015/06/02
"Abbottina rivularis","Animals","Fishes",mitochondrion,NC_023781.1,KF577979,16.597,44.2911,13,2,22,-,13,-,2014/03/13,2014/03/13
"Abeliophyllum distichum","Plants","Land Plants",chloroplast,NC_031445.1,KT274029,155.982,37.8185,87,8,37,-,133,1,2016/10/13,2016/10/13
"Abidama producta","Animals","Insects",mitochondrion,NC_015799.1,GQ337955,15.277,22.6484,13,2,22,-,13,-,2011/07/14,2014/12/15
"Abies koreana","Plants","Land Plants",chloroplast,NC_026892.1,KP742350,121.373,38.2499,74,4,35,-,113,-,2015/04/22,2015/04/22
"Abisara fylloides","Animals","Insects",mitochondrion,NC_021746.1,HQ259069,15.301,18.8288,13,2,22,-,13,-,2013/07/18,2013/07/31
"Abispa ephippium","Animals","Insects",mitochondrion,NC_011520.1,EU302588,16.953,19.3948,13,2,26,-,13,-,2008/11/04,2008/11/19
"Ablennes hians","Animals","Fishes",mitochondrion,NC_011180.1,AB373007,16.825,41.7415,13,2,22,-,13,-,2008/08/27,2008/12/05
"Aborichthys elongatus","Animals","Fishes",mitochondrion,NC_031582.1,AP011304,16.544,40.5404,13,2,22,-,37,-,2016/10/21,2016/11/17
"Abramis brama","Animals","Fishes",mitochondrion,NC_020356.1,AP009305,16.607,43.0421,13,2,22,-,13,-,2013/02/25,2013/03/05
"Abronia graminea","Animals","Reptiles",mitochondrion,NC_005958.1,AB080273,16.016,39.6978,13,2,22,-,13,-,2004/07/02,2010/02/01
"Abrornis inornata","Animals","Birds",mitochondrion,NC_024726.1,KF742677,16.875,46.5185,13,2,22,-,13,-,2014/08/26,2014/08/29
"Abrota ganga","Animals","Insects",mitochondrion,NC_024404.1,KF590536,15.356,18.794,13,2,22,-,13,-,2014/06/24,2014/07/02
"Abudefduf vaigiensis","Animals","Fishes",mitochondrion,NC_009064.1,AP006016,16.703,45.405,13,2,22,-,13,-,2007/02/27,2007/02/28
"Acacia ligulata","Plants","Land Plants",chloroplast,NC_026134.2,LN555649,174.233,35.3745,89,8,37,-,134,-,2015/01/05,2016/02/11
"Acanella eburnea","Animals","Other Animals",mitochondrion,NC_011016.2,EF672731,18.616,37.2529,14,2,1,-,14,-,2008/06/23,2010/08/20
"Acanthacorydalis orientalis","Animals","Insects",mitochondrion,NC_023462.1,KF840564,15.753,23.2337,13,2,22,-,13,-,2014/02/13,2014/02/27
"Acanthaluteres brownii","Animals","Fishes",mitochondrion,NC_011947.1,AP009212,16.441,47.2903,13,2,22,-,13,-,2009/01/22,2009/02/06
"Acanthamoeba castellanii Neff (ATCC 30010)","Protists","Other Protists",mitochondrion,NC_001637.1,U12386,41.591,29.3958,40,2,15,-,57,-,1994/10/31,2015/10/01
"Acanthaster brevispinus","Animals","Other Animals",mitochondrion,NC_007789.1,AB231476,16.254,43.6262,13,2,22,-,13,-,2006/02/08,2009/04/15
"Acanthaster planci","Animals","Other Animals",mitochondrion,NC_007788.1,AB231475,16.234,43.6615,13,2,22,-,13,-,2006/02/08,2010/02/01
"Acanthis flammea","Animals","Birds",mitochondrion,NC_027285.1,KR422696,16.82,45.4875,13,2,22,-,37,-,2015/06/18,2015/06/24
"Acanthobrama persidis","Animals","Fishes",mitochondrion,NC_031562.1,AP011264,16.613,44.2244,13,2,22,-,37,-,2016/10/21,2016/11/17
"Acanthocardia tuberculata","Animals","Other Animals",mitochondrion,NC_008452.1,DQ632743,16.104,40.0956,12,2,23,-,12,-,2006/10/05,2006/10/13
"Acanthocheilonema viteae","Animals","Roundworms",mitochondrion,NC_016197.1,HQ186249,13.724,26.4573,12,2,22,-,12,-,2011/11/15,2012/09/14
"Acanthogobius hasta","Animals","Fishes",mitochondrion,NC_006131.1,AY486321,16.663,45.46,13,2,22,-,13,-,2004/08/11,2010/02/01
"Acanthogobius hasta","Animals","Fishes",mitochondrion,NC_020767.1,JX186192,16.66,45.3301,13,2,22,-,13,-,2013/03/25,2013/05/14
"Acanthopagrus latus","Animals","Fishes",mitochondrion,NC_010977.1,EF506764,16.609,44.795,13,2,22,-,13,-,2008/06/13,2008/12/05
"Acanthopagrus schlegelii","Animals","Fishes",mitochondrion,NC_018553.1,JQ746035,16.649,44.0927,13,2,22,-,13,-,2012/09/10,2012/09/17
"Acanthorhodeus chankaensis","Animals","Fishes",mitochondrion,NC_023101.1,KF695385,16.774,42.3513,13,2,22,-,13,-,2013/12/19,2014/01/14
"Acanthorhodeus gracilis","Animals","Fishes",mitochondrion,NC_028416.1,KT591478,16.988,43.101,13,2,22,-,37,-,2015/11/17,2015/12/07
"Acanthosaura armata","Animals","Reptiles",mitochondrion,NC_014175.1,AB266452,16.544,44.0885,13,2,22,-,13,-,2010/06/11,2016/09/23
"Acanthosoma labiduroides","Animals","Insects",mitochondrion,NC_032391.1,-,16.678,24.3135,13,2,22,-,37,-,2016/12/27,2017/01/04
"Acanthurus leucosternon","Animals","Fishes",mitochondrion,NC_009830.1,EU136032,16.434,44.3349,13,2,22,-,13,-,2007/09/19,2013/01/17
"Acanthurus lineatus","Animals","Fishes",mitochondrion,NC_010108.1,EU273284,16.532,43.564,13,2,22,-,13,-,2007/12/05,2016/06/28
"Acantopsis choirorhynchos","Animals","Fishes",mitochondrion,NC_008669.1,AB242161,16.6,43.4036,13,2,22,-,13,-,2006/12/12,2006/12/22
"Acasta sulcata","Animals","Other Animals",mitochondrion,NC_029168.1,KJ754818,15.326,27.5936,13,2,22,-,37,-,2016/02/12,2016/03/02
