#Organism/Name,Kingdom,Group,SubGroup,Plasmid Name,RefSeq,INSDC,Size (Kb),GC%,Protein,rRNA,tRNA,Other RNA,Gene,Pseudogene,Release Date,Modify Date
"Acaryochloris marina MBIC11017",Bacteria,"Terrabacteria group","Cyanobacteria/Melainabacteria group",pREB1,NC_009926.1,CP000838,374.161,47.3483,302,-,-,-,328,26,2007/10/17,2016/11/25
"Acaryochloris marina MBIC11017",Bacteria,"Terrabacteria group","Cyanobacteria/Melainabacteria group",pREB2,NC_009927.1,CP000839,356.087,45.3367,314,-,-,-,352,38,2007/10/17,2016/11/25
"Acaryochloris marina MBIC11017",Bacteria,"Terrabacteria group","Cyanobacteria/Melainabacteria group",pREB3,NC_009928.1,CP000840,273.121,45.1902,248,-,-,-,295,47,2007/10/17,2016/11/25
"Acaryochloris marina MBIC11017",Bacteria,"Terrabacteria group","Cyanobacteria/Melainabacteria group",pREB4,NC_009929.1,CP000841,226.68,45.877,208,-,-,-,225,17,2007/10/17,2016/11/25
"Acaryochloris marina MBIC11017",Bacteria,"Terrabacteria group","Cyanobacteria/Melainabacteria group",pREB5,NC_009930.1,CP000842,177.162,44.6755,171,-,-,-,178,7,2007/10/17,2016/11/25
"Acaryochloris marina MBIC11017",Bacteria,"Terrabacteria group","Cyanobacteria/Melainabacteria group",pREB6,NC_009931.1,CP000843,172.728,47.1267,142,-,-,-,162,20,2007/10/17,2016/11/25
"Acaryochloris marina MBIC11017",Bacteria,"Terrabacteria group","Cyanobacteria/Melainabacteria group",pREB7,NC_009932.1,CP000844,155.11,45.5909,123,-,-,-,135,12,2007/10/17,2016/11/25
"Acaryochloris marina MBIC11017",Bacteria,"Terrabacteria group","Cyanobacteria/Melainabacteria group",pREB8,NC_009933.1,CP000845,120.693,45.4185,101,-,-,-,107,6,2007/10/17,2016/11/25
"Acaryochloris marina MBIC11017",Bacteria,"Terrabacteria group","Cyanobacteria/Melainabacteria group",pREB9,NC_009934.1,CP000846,2.133,42.5223,2,-,-,-,3,1,2007/10/17,2016/11/25
"Acetobacter aceti",Bacteria,"Proteobacteria","Alphaproteobacteria",pAC5,NC_001275.1,AF110140,5.123,55.8657,2,-,-,-,2,-,1999/12/27,2014/12/17
"Acetobacter aceti",Bacteria,"Proteobacteria","Alphaproteobacteria",pAG20,NC_022074.1,KC871566,2.953,56.3495,1,-,-,-,1,-,2013/08/15,2014/12/18
"Acetobacter ghanensis",Bacteria,"Proteobacteria","Alphaproteobacteria",1P,NZ_LN609303.1,LN609303,161.207,55.7259,160,-,-,-,168,8,2016/01/03,2016/01/07
"Acetobacter ghanensis",Bacteria,"Proteobacteria","Alphaproteobacteria",2P,NZ_LN609304.1,LN609304,17.845,53.5444,20,-,-,-,21,1,2016/01/03,2016/01/07
"Acetobacter pasteurianus",Bacteria,"Proteobacteria","Alphaproteobacteria",pAP12875,NC_004991.1,U20550,1.44,57.4306,2,-,-,-,2,-,2003/07/07,2014/12/18
"Acetobacter pasteurianus",Bacteria,"Proteobacteria","Alphaproteobacteria",pAP2,NC_007293.1,AM055747,4.484,51.1597,1,-,-,-,1,-,2005/08/04,2014/12/18
"Acetobacter pasteurianus",Bacteria,"Proteobacteria","Alphaproteobacteria",pGR7,NC_010177.2,AM922326,2.446,29.5585,3,-,-,-,3,-,2007/12/19,2014/12/16
"Acetobacter pasteurianus",Bacteria,"Proteobacteria","Alphaproteobacteria",pAC258-26,NC_019327.1,JQ418524,20.898,51.8853,32,-,-,-,32,-,2012/11/04,2014/12/17
"Acetobacter pasteurianus",Bacteria,"Proteobacteria","Alphaproteobacteria",pAC258-29,NC_019337.1,JQ418523,30.498,50.7115,42,-,-,-,42,-,2012/11/04,2014/12/17
"Acetobacter pasteurianus 386B",Bacteria,"Proteobacteria","Alphaproteobacteria",Apa386Bp1,NC_021976.1,HF677571,194.78,52.0094,183,-,-,-,196,13,2013/08/01,2016/08/01
"Acetobacter pasteurianus 386B",Bacteria,"Proteobacteria","Alphaproteobacteria",Apa386Bp4,NC_021977.1,HF677574,11.105,52.2828,11,-,-,-,13,2,2013/08/01,2016/08/01
"Acetobacter pasteurianus 386B",Bacteria,"Proteobacteria","Alphaproteobacteria",Apa386Bp6,NC_021978.1,HF677576,6.548,51.7868,9,-,-,-,10,1,2013/08/01,2016/08/01
"Acetobacter pasteurianus 386B",Bacteria,"Proteobacteria","Alphaproteobacteria",Apa386Bp7,NC_021979.1,HF677577,3.851,47.0267,2,-,-,-,2,-,2013/08/01,2016/08/01
"Acetobacter pasteurianus 386B",Bacteria,"Proteobacteria","Alphaproteobacteria",Apa386Bp3,NC_021992.1,HF677573,15.601,55.4708,14,-,-,-,16,2,2013/08/01,2016/08/01
"Acetobacter pasteurianus 386B",Bacteria,"Proteobacteria","Alphaproteobacteria",Apa386Bp5,NC_021993.1,HF677575,9.914,50.7464,6,-,-,-,10,4,2013/08/01,2016/08/01
"Acetobacter pasteurianus 386B",Bacteria,"Proteobacteria","Alphaproteobacteria",Apa386Bp2,NZ_HF677572.1,HF677572,18.169,55.5672,25,-,-,-,25,-,2013/08/01,2016/08/01
"Acetobacter pasteurianus IFO 3283-01",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA01-011,NC_013210.1,AP011122,191.799,53.3621,168,-,-,-,182,14,2009/09/14,2016/10/13
"Acetobacter pasteurianus IFO 3283-01",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA01-020,NC_013211.1,AP011123,182.94,53.4968,162,-,-,-,173,11,2009/09/14,2016/10/13
"Acetobacter pasteurianus IFO 3283-01",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA01-030,NC_013212.1,AP011124,49.961,53.882,58,-,-,-,59,1,2009/09/14,2016/10/13
"Acetobacter pasteurianus IFO 3283-01",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA01-040,NC_013213.1,AP011125,3.204,53.7453,4,-,-,-,4,-,2009/09/14,2016/10/13
"Acetobacter pasteurianus IFO 3283-01",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA01-050,NC_013214.1,AP011126,3.035,55.7825,3,-,-,-,3,-,2009/09/14,2016/10/13
"Acetobacter pasteurianus IFO 3283-01",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA01-060,NC_013215.1,AP011127,1.815,58.5675,1,-,-,-,1,-,2009/09/14,2016/10/13
"Acetobacter pasteurianus IFO 3283-01-42C",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA42C_011,NC_017104.1,AP011164,191.799,53.3621,168,-,-,-,182,14,2012/04/12,2016/10/13
"Acetobacter pasteurianus IFO 3283-01-42C",Bacteria,"Proteobacteria","Alphaproteobacteria",pAPA42C_020,NC_017105.1,AP011165,182.94,53.4968,163,-,-,-,173,10,2012/04/12,2016/10/13
